"KIC","KOI","KepName","Period","T0","T14","ld1","ld2","R_star","rad_up","rad_down","mass","mass_up","mass_down"
3323887,377.03,"Kepler-9 d",1.59295975,182.08924,0.080470833333333,0.2623,0.4089,0.956,0.184,-0.05,1.034,0.059,-0.077
11442793,351.06,"Kepler-90 b",7.00821787,137.67164,0.158833333333333,0.2844,0.3661,1.2,0.195,-0.16,1.089,0.089,-0.08
11442793,351.05,"Kepler-90 c",8.71980135,139.52134,0.156058333333333,0.2844,0.3661,1.2,0.195,-0.16,1.089,0.089,-0.08
11442793,351.03,"Kepler-90 d",59.7371443,158.95974,0.333358333333333,0.2844,0.3661,1.2,0.195,-0.16,1.089,0.089,-0.08
11442793,351.04,"Kepler-90 e",91.9401253,134.3,0.383125,0.2844,0.3661,1.2,0.195,-0.16,1.089,0.089,-0.08
11442793,351.07,"Kepler-90 f",124.922516,129.7295,0.497583333333333,0.2844,0.3661,1.2,0.195,-0.16,1.089,0.089,-0.08
11442793,351.02,"Kepler-90 g",210.6013843,147.056867,0.499675,0.2844,0.3661,1.2,0.195,-0.16,1.089,0.089,-0.08
11442793,351.01,"Kepler-90 h",331.5972732,140.498929,0.600166666666667,0.2844,0.3661,1.2,0.195,-0.16,1.089,0.089,-0.08
10022908,1586.01,"Kepler-900 b",6.99130452,135.46291,0.089866666666667,0.0989,0.6441,0.761,0.059,-0.043,0.86,0.03,-0.084
5617854,1588.01,"Kepler-901 b",3.517494725,135.546724,0.0651625,0.1171,0.6215,0.564,0.03,-0.03,0.578,0.031,-0.034
10006581,1595.01,"Kepler-902 b",40.1097817,142.08227,0.217066666666667,0.2291,0.4603,1.169,0.183,-0.203,0.918,0.072,-0.039
5438757,1601.01,"Kepler-903 b",10.35078415,133.71163,0.260541666666667,0.2291,0.4603,1.08,0.165,-0.15,0.926,0.067,-0.043
5438757,1601.02,"Kepler-903 c",62.9224936,151.6882,0.485,0.2291,0.4603,1.08,0.165,-0.15,0.926,0.067,-0.043
5177104,1603.01,"Kepler-904 b",3.02168007,133.47243,0.117766666666667,0.3032,0.3147,0.989,0.291,-0.097,1.058,0.144,-0.129
9886661,1606.01,"Kepler-905 b",5.082748362,133.21176,0.073883333333333,0.224,0.4695,0.858,0.105,-0.035,0.961,0.035,-0.07
5009743,1609.01,"Kepler-906 b",41.6980186,169.57548,0.237695833333333,0.2889,0.3511,0.971,0.145,-0.067,1.004,0.057,-0.078
6268648,1613.01,"Kepler-907 b",15.86624787,141.08734,0.177083333333333,0.2949,0.3354,1.308,0.054,-0.054,0.974,0.071,-0.064
4278221,1615.01,"Kepler-908 b",1.340596782,132.24549,0.068683333333333,0.2826,0.3729,1.125,0.186,-0.093,1.122,0.078,-0.078
9015738,1616.01,"Kepler-909 b",13.93291548,139.41058,0.109329166666667,0.2844,0.3661,1.207,0.21,-0.14,1.113,0.081,-0.091
8219268,2133.01,"Kepler-91 b",6.24667547,136.38688,0.469208333333333,0.0744,0.6914,6.221,0.559,-0.509,1.218,0.226,-0.185
7215603,1618.01,"Kepler-910 b",2.36436762,132.25007,0.1405,0.307,0.3325,1.543,0.031,-0.044,1.326,0.045,-0.056
5561278,1621.01,"Kepler-911 b",20.31047472,146.82534,0.222320833333333,0.2904,0.3534,1.877,0.141,-0.071,1.197,0.186,-0.074
6387542,1626.01,"Kepler-912 b",2.53475568,132.68024,0.190483333333333,0.2865,0.3556,0.806,0.192,-0.082,0.808,0.106,-0.071
6543893,1627.01,"Kepler-913 b",10.29674097,132.19453,0.113716666666667,0.2865,0.3671,1.797,0.295,-0.406,1.294,0.131,-0.145
8685497,1629.01,"Kepler-914 b",4.4096675,132.45003,0.089241666666667,0.2514,0.4282,1.166,0.193,-0.113,1.1,0.075,-0.075
9277896,1632.01,"Kepler-915 b",4.59489816,133.83995,0.130754166666667,0.2891,0.3589,1.381,0.24,-0.24,1.148,0.093,-0.104
9401997,1633.01,"Kepler-916 b",32.2964275,138.52615,0.190041666666667,0.1914,0.5167,0.891,0.066,-0.072,0.854,0.055,-0.037
10686864,1637.01,"Kepler-917 b",2.97041801,133.39136,0.093204166666667,0.153,0.5684,0.743,0.096,-0.059,0.833,0.059,-0.088
10879038,1641.01,"Kepler-918 b",4.8538404,135.09902,0.13325,0.2602,0.4096,0.968,0.143,-0.057,1.038,0.05,-0.068
10990917,1643.01,"Kepler-919 b",11.04605365,136.44056,0.199958333333333,0.2889,0.3511,1.025,0.345,-0.115,1.025,0.153,-0.126
6196457,285.01,"Kepler-92 b",13.74883059,179.279158,0.254033333333333,0.26,0.4133,1.67,0.118,-0.082,1.142,0.16,-0.053
6196457,285.02,"Kepler-92 c",26.723169,147.93696,0.354208333333333,0.26,0.4133,1.67,0.118,-0.082,1.142,0.16,-0.053
6196457,285.03,"Kepler-92 d",49.3567907,134.29533,0.456416666666667,0.26,0.4133,1.67,0.118,-0.082,1.142,0.16,-0.053
11337372,1650.01,"Kepler-920 b",6.53194024,136.03223,0.1389625,0.186,0.5256,0.977,0.096,-0.128,0.856,0.066,-0.033
11337372,1650.02,"Kepler-920 c",100.8276725,216.38757,0.349583333333333,0.186,0.5256,0.977,0.096,-0.128,0.856,0.066,-0.033
11337833,1651.01,"Kepler-921 b",51.3011844,153.52571,0.223291666666667,0.2916,0.3447,0.929,0.291,-0.078,1.014,0.13,-0.13
11547505,1655.01,"Kepler-922 b",0.938466959,135.600698,0.054229166666667,0.2291,0.4603,1.087,0.165,-0.165,0.906,0.066,-0.038
4932442,1665.01,"Kepler-923 b",6.93365167,137.07375,0.192,0.2678,0.3958,1.304,0.195,-0.238,1.01,0.093,-0.069
5183357,1669.01,"Kepler-924 b",61.0373591,175.17671,0.349083333333333,0.307,0.3325,1.614,0.282,-0.254,1.358,0.098,-0.108
5269467,1672.01,"Kepler-925 b",33.8677783,137.51532,0.155,0.0722,0.674,0.691,0.044,-0.06,0.683,0.066,-0.054
5526717,1677.01,"Kepler-926 b",52.069002,178.15525,0.125370833333333,0.2193,0.4785,1.246,0.179,-0.219,1.008,0.057,-0.057
6034945,1683.01,"Kepler-927 b",9.11500269,133.97523,0.189916666666667,0.2868,0.3588,1.028,0.32,-0.137,1.039,0.142,-0.129
6198999,1687.01,"Kepler-928 b",3.93246069,132.55435,0.090679166666667,0.1054,0.6323,0.779,0.049,-0.074,0.756,0.072,-0.054
6310636,1688.01,"Kepler-929 b",0.921030497,132.03171,0.108654166666667,0.2638,0.4046,1.615,0.252,-0.346,1.115,0.119,-0.095
3544595,69.01,"Kepler-93 b",4.72674037,134.926396,0.121945833333333,0.2711,0.3858,0.894,0.04,-0.036,0.866,0.058,-0.053
6803855,1695.01,"Kepler-930 b",71.4523167,148.80814,0.2615,0.303,0.3166,1.488,0.432,-0.432,1.094,0.178,-0.146
7220429,1700.01,"Kepler-931 b",8.03753796,139.3582,0.121325,0.153,0.5684,0.804,0.103,-0.093,0.764,0.095,-0.055
7626370,1706.01,"Kepler-932 b",1.921437488,131.806204,0.079358333333333,0.2043,0.4966,0.851,0.197,-0.112,0.784,0.114,-0.057
7815744,1710.01,"Kepler-933 b",14.20442616,142.7332,0.162416666666667,0.2337,0.4535,0.678,0.105,-0.045,0.758,0.072,-0.072
7955580,1711.01,"Kepler-934 b",55.673582,136.54906,0.157416666666667,0.1496,0.5746,0.808,0.037,-0.046,0.806,0.046,-0.033
